Source,Longitude,Latitude,Water_Depth,Core_Name,Temp,GDGT_0,GDGT_1,GDGT_2,GDGT_3,Crenarchaeol,Cren
Tierney and Tingley 2015,-58.712,46.621,18,DNT05-22 BEN,6.3,0.4634,0.0432,0.0123,0.005,0.4733,0.0029
Tierney and Tingley 2015,10.423,59.633,100,mmensfjord D,9.1,0.4901,0.0251,0.0099,0.0035,0.467,0.0043
Tierney and Tingley 2015,10.396,59.668,100,rammensfjord,9.1,0.4948,0.0346,0.0172,0.004,0.4445,0.0049
Tierney and Tingley 2015,10.423,59.633,110,rammensfjord,9.1,0.4901,0.0251,0.0099,0.0035,0.467,0.0043
Tierney and Tingley 2015,-4.032,62.956,2060,ENAM9407,8,0.528,0.0321,0.0098,0.0035,0.4216,0.0049
Tierney and Tingley 2015,4.5,53.7,34,Frisian Front,10.6,0.4632,0.0393,0.0171,0.0058,0.471,0.0034
Tierney and Tingley 2015,123.595,-9.003,-999,G2-85 7 0-1,28.1,0.242,0.0689,0.0672,0.0181,0.5573,0.0464
Tierney and Tingley 2015,123.64,-8.99,-999,G2-85 pist 0-1,28.1,0.2343,0.0718,0.072,0.0195,0.5564,0.0459
Tierney and Tingley 2015,123.592,-9.343,2720,G2-9 box 0-1,28.1,0.2236,0.0732,0.0777,0.0195,0.5465,0.0595
Tierney and Tingley 2015,123.592,-9.34,2720,G2-9 trp 0-1,28.1,0.2023,0.0696,0.0813,0.0179,0.5764,0.0524
Tierney and Tingley 2015,117.193,-10.152,1182,G6-3 0-1,28.3,0.2366,0.0663,0.0781,0.0148,0.5488,0.0553
Tierney and Tingley 2015,96.66,1.597,1900,GeoB10016-2,28.7,0.2172,0.0643,0.0942,0.0177,0.5573,0.0494
Tierney and Tingley 2015,99.521,-0.944,1641,GeoB10026-2,28.7,0.2074,0.0763,0.1012,0.0184,0.5411,0.0556
Tierney and Tingley 2015,99.681,-1.667,1758,GeoB10032-1,28.7,0.2145,0.0729,0.0941,0.0179,0.5477,0.053
Tierney and Tingley 2015,101.499,-4.165,995,GeoB10034-3,28.2,0.2311,0.0734,0.0933,0.017,0.5364,0.0488
Tierney and Tingley 2015,103.246,-5.937,1891,GeoB10038-3,27.6,0.2877,0.0702,0.0831,0.014,0.503,0.0419
Tierney and Tingley 2015,102.859,-6.476,2605,GeoB10040-3,27.9,0.2899,0.0724,0.0829,0.0143,0.4977,0.0427
Tierney and Tingley 2015,104.643,-7.113,2457,GeoB10042-2,28,0.2477,0.071,0.0803,0.0187,0.5368,0.0455
Tierney and Tingley 2015,17.467,40,1186,GeoB10701-4,18.9,0.285,0.074,0.08,0.015,0.515,0.031
Tierney and Tingley 2015,17.742,40,277,GeoB10703-3,18.9,0.356,0.054,0.04,0.01,0.509,0.03
Tierney and Tingley 2015,17.833,40,219,GeoB10704-3,18.9,0.356,0.062,0.038,0.013,0.521,0.01
Tierney and Tingley 2015,17.913,39.853,128,GeoB10705-3,18.9,0.354,0.062,0.039,0.011,0.525,0.009
Tierney and Tingley 2015,17.583,39.783,1598,GeoB10707-4,18.9,0.295,0.064,0.064,0.011,0.54,0.026
Tierney and Tingley 2015,17.733,39.808,686,GeoB10708-3,18.9,0.306,0.07,0.061,0.011,0.533,0.02
Tierney and Tingley 2015,17.893,39.757,173,GeoB10709-4,18.9,0.363,0.059,0.036,0.01,0.516,0.016
Tierney and Tingley 2015,17.683,39.592,2040,GeoB10710-4,18.9,0.298,0.067,0.065,0.011,0.527,0.031
